price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,list_year,list_month
250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kitisuru,2021,7
600000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Westlands,2021,7
210000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
80000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Mugumo-Ini (Langata),2021,7
390000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
350000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Westlands,2021,7
30000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Karen,2021,7
250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
270000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
200000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
320000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
120000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
150000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
260000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
120000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
240000.0,4,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kileleshwa,2021,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Lavington,2021,7
300000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Lavington,2021,7
180000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kilimani,2021,7
150000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
320000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
180000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
270000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
80000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
200000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
130000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
210000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
300000.0,4,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
350000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
130000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
100000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
280000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
350000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
350000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
200000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
120000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
210000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
180000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
280000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
550000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
450000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
200000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
300000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
130000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
200000.0,4,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Karen,2021,7
250000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
450000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
280000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
180000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Karen,2021,7
180000.0,2,1,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
200000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
600000.0,5,6,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
250000.0,5,6,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
250000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
300000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
80000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
180000.0,4,5,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
85000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
160000.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Mini Flat,Nairobi,Kilimani,2021,7
150000.0,4,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
150000.0,4,3,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
200000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
130000.0,2,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
180000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kilimani,2021,7
65000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
110000.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Mini Flat,Nairobi,Kilimani,2021,7
265000.0,4,4,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Kitisuru,2021,7
180000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
105000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
160000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
120000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
90000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
110000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
70000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
65000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
120000.0,1,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
6000.0,1,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
